질병명,권장식품,주의사항
궤양성대장염,,"약물 사용에 따른 영양소의 상호작용을 고려해야합니다.  1. 코티코스테로이드(Corticosteroids) : 칼슘, 단백질 흡수저해 2. 설파살라진(Sulfasalazine) : 엽산 흡수저해 3. 콜레스티라민(Cholestyramine) : 지방, 비타민 흡수저해 "
급만성 림프모구성백혈병,"잘 익힌 생선이나 살코기, 잘 씻은 채소, 껍질은 벗긴 과일","조혈모세포이식 직후에는 멸균식(sterile diet)을 하도록 합니다. 동물성 식품은 반드시 익혀서 섭취합니다. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다. 조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다. 조리 전, 식사 전에 손을 깨끗이 씻도록 합니다. 가공식품은 유통기한을 확인하도록 합니다. "
급성/만성 위염,"부드럽게 조리된 단백질 식품(살코기, 흰살생선, 계란찜 등)","중노년층에 자주 나타나는 무산성 위염은 위산의 분비를 촉진하기 위해 어느정도 자극성이 있는 무즙, 파, 마늘, 생강 등을 양념으로 적당히 사용하거나 식사 전 유자차나 레몬차, 주스, 요구르트 등을 마시는 것도 도움이 될 수 있습니다. "
급성골수성백혈병,"잘 익힌 생선이나 살코기, 잘 씻은 채소, 껍질 벗긴 과일","골수이식 직후에는 멸균식(sterile diet)을 하도록 합니다. 동물성식품을 익혀서 섭취합니다. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다.  조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다. 조리전, 식사전에 손을 깨끗이 씻도록 합니다. 가공식품은 유통기한을 확인하도록 합니다. "
급성신부전,"고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오.","기도삽관이나 수술 후 장페색이 있는 경우는 음식 및 수분의 경구섭취가 불가할 수 있습니다. 고포타슘혈증, 폐부종, 요독증, 심부전 등이 치료되지 않을 경우는 매일 혹은 일정기간마다 투석을 해야 할수 있으며, 영양상태에 따라 단백질 등 영양 섭취량을 달리해야 합니다."
급성췌장염,"기름기 적은 살코기(돼지고기, 소고기), 닭고기(껍질 제거), 생선, 두부, 각종 야채 등","음주, 흡연은 췌장효소의 분비를 촉진시켜 췌장을 자극하므로 삼가도록 합니다."
노인,골고루 섭취,"연하곤란이나 씹는데 문제가 있는 노인은 먹는 능력이 떨어져 섭취량이 부족하므로 고영양식을 해야 합니다. 음식의 크기와 모양은 작은 크기로 하며 씹기 힘든 육류나 섬유질이 많은 과일, 채소 섭취가 어려우면 흰살 생선이나 섬유질이 적은 부드러운 과일, 채소를 사용합니다. 음식을 다지거나 갈아서 부드럽게 하고 자극적이지 않게 조리합니다."
뇌경색,"물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취할 수 있습니다. 삼킨 장애가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다. 반찬(고기, 생선살, 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다. 우유대신 걸쭉한 요거트를 권장합니다. ","삼킴곤란 시는 흐르는 액체 형태의 물, 주스, 우유등은 기도로의 흡인의 가능성이 있으므로 사래나 기침 등의 증상이 있는 경우 정확한 의료진의 진단이 필요합니다.  식사 섭취 시 작은 숟가락을 사용합니다. 베개로 등뒤와 옆구리를 받치거나 의자에 허리를 펴고 앉아 턱은 약간 아래로 향하도록 하여 식사합니다. 보호자의 관찰 하에 식사합니다. 탈수를 방지하기위해 점도증진제를 적절히 이용하여 수분 섭취를 합니다.  고혈압이 있는 경우 젓갈, 장아찌, 자반 등 염장식품은 피합니다. 당뇨가 있는 경우 규칙적인 식사를 하고 간식은 되도록 피합니다. "
뇌졸증,"물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취할 수 있습니다. 삼킴 장애가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다. 우유 대신 요거트를 권장합니다. ","삼킴곤란 시는 흐르는 액체 형태의 물, 주스, 우유등은 기도로의 흡인의 가능성이 있으므로 사래나 기침 등의 증상이 있는 경우 정확한 의료진의 진단이 필요합니다.  식사 섭취 시 작은 숟가락을 사용합니다. 베개로 등뒤와 옆구리를 받치거나 의자에 허리를 펴고 앉아 턱은 약간 아래로 향하도록 하여 식사합니다.  보호자의 관찰 하에 식사합니다.  탈수를 방지하기위해 점도증진제를 적절히 이용하여 수분 섭취를 합니다. "
다발성골수종식,"잡곡, 견과류, 두류, 다양한 색의 채소 및 과일류","다발성골수종 질환 자체의 영향으로 고칼슘혈증, 신기능장애, 빈혈 등의 증상이 동반이 될수 있습니다. 환자에게 동반되는 증상과 치료상태에 따라 식사요법의 원칙이 달라질수 있으므로 의료진, 영양전문가와 상의하여 식사처방을 받도록 합니다. 항암치료 중에 항암제와 상호작용을 일으키거나 부작용을 유발할 수 있는 건강보조식품, 한약 등의 복용은 피하는 것이 좋습니다."
단장증후군,"연한 쇠고기, 돼지고기, 계란, 두부, 닭고기(껍질제외), 생선(껍질제외), 부드러운 야채, 사과, 복숭아, 수박, 과일 통조림, 무지방우유, 푸딩, 영양보충음료 등","증상에 따라 식사요법이 달라질 수 있습니다. 초기 설사가 안정되면 물이나 음료를 통해 장의 적응을 촉진하도록 하고 적응 상태에 따라 미음, 죽 식사로 진행합니다. "
담낭암,"쌀밥, 잡곡밥, 살코기(쇠고기, 돼지고기), 껍질 벗긴 닭고기, 생선, 두부, 콩, 각종 야채, 저지방 우유 등","지나친 지방 제한은 불필요하며, 필수지방산 섭취를 위하여 소량의 식물성 기름을 사용합니다."
당뇨병성족부병,"상처 회복을 위한 고단백 식품 넉넉한 채소 섭취 열량이 적은 자유 식품(곤약, 해조류, 버섯류, 우뭇가사리, 등..) ",당뇨병성 신증 및 단백질 제한이 필요한 환자에게 당뇨병성 족부 질환이 발생되면 상처 회복이 우선이므로 회복기까지는 단백질 제한을 풀고 적당량의 단백질 식품을 섭취하다가 회복 후 예전의 식사(단백질 제한식사)로 변경합니다. 상처 회복을 위해 잘 드시라고하는 말이 간식 등을 많이 섭취하라는 얘기가 아니므로 하루 섭취량 안에서 균형잡힌 식사를 하도록 합니다.
당뇨병,"채소류, 열량이 적은 식품(곤약, 해조류, 버섯류, 우뭇가사리, 등)","식사 외 간식을 섭취하는 경우는 하루 섭취량 안에서 식사량을 조절합니다. 경구혈당강하제나 인슐린을 맞는 환자의 경우 저혈당에 대비해 사탕 등의 단순당을 지참합니다.  지나치게 짠 음식은 피하고, 싱겁게 조리합니다.  단맛을 원하는 경우 설탕대신 인공감미료를 사용할 수 있습니다.  외식 시 하루 섭취량 및 한끼 식사량을 고려해 개인 접시에 덜어 섭취합니다. "
당원병/당원축적병,"밥, 잡곡류, 소맥분, 타피오카, 마카로니, 귀리빵, 보리빵, 콩, 수수","옥수수 전분은 요리하거나 뜨거운 물 혹은 레몬에이드에 혼합하는 경우 전분입자가 파괴되어 아밀라아제에 의한 가수분해가 빨라져서 혈당을 유지하는 효과가 없어지므로 물, 두유, 플레인 요구르트 등 실온의 액체에 타서 먹도록 합니다.  "
대사성산증,"고기, 생선, 두부 등의 양질의 단백질 식품, 신선한 채소류, 과일류",고른 영양섭취가 필요하므로 균형잡힌 식사를 하도록 합니다. 
대사증후군,"신선한 채소를 비롯한 잡곡, 어육류, 생선, 두부, 견과류 그리고 제철 과일과 우유 등 균형잡힌 식사",건강하지 않은 식습관은 대사증후군의 주요 위험 요인입니다.  복부 비만은 가장 대표적인 위험 요인이므로 적정 체중 유지하며 운동을 병행해야 합니다.  야식은 절대 금해야하며 과량의 알코올 섭취는 지방으로 전환될 수 있으므로 금주하는 것이 좋습니다.
대장암,"신선한 채소와 과일, 유제품","대장암 수술 직후 약1-2달 간에는 고섬유식품 섭취를 줄이도록 합니다.  수술 부위, 장루의 유무에 따라 저잔사식과 같은 식사요법이 필요합니다. "
대장양성종양,"신선한 채소와 과일, 유제품 ","칼로리가 높은 식품 섭취를 줄이고, 조리 시에도 기름 사용이 적은 찜, 조림 등의 방법을 활용합니다."
덤핑증후군,"소화되기 쉬운 부드러운 식품, 기름기가 적은 살코기, 생선 등의 양질의 단백질 식품, 달지 않은 식품",수술 후 일부 환자에게서는 유당불내성이 나타나므로 초기에는 우유 및 유제품을 제한하다가 점차로 조금씩 양을 증가시키도록 합니다.
만성 췌장염,"기름기 적은 살코기(돼지고기, 소고기), 닭고기(껍질 제거), 생선, 두부, 각종 야채 등","음주, 흡연은 췌장효소의 분비를 촉진시켜 췌장을 자극하므로 삼가도록 합니다. 필요시 MCT 기름을 사용합니다. "
만성담낭염,"식빵, 쇠고기, 돼지고기 살코기, 껍질벗긴 닭고기, 가자미, 새우, 두부, 저지방 우유, 신선한 과일 등","지나친 지방 제한은 불필요하며, 필수지방산 섭취를 위하여 소량의 식물성 기름을 사용합니다."
만성신부전,"단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리 시 올리브, 참기름, 설탕을 충분히 사용할 것을 권장합니다. 싱겁게 드셔야 하므로, 소금/간장/된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오. 외식 시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥 등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.",단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 처방에 따라 적절한 단백질(식품)을 섭취합니다. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하고 노페물이 쌓이게 되므로 밥 1공기정도의 충분한 식사량을 유지합니다.
만성폐쇄성폐질환,"기름기를 제거한 살코기, 생선, 껍질 벗긴 과일",식사 전 30분간은 휴식합니다.   식사 중 피로감이 유발되면 잘게 자르거나 갈아서 섭취하도록 합니다.
만성피로증후군,"신선한과일, 야채, 저지방 고단백식품(두부,살코기, 흰살생선등), 복합탄수화물(밥, 빵, 떡, 감자,고구마등)",특정 음식에 대한 과민 반응이 있을 경우 제한 합니다. 규칙적인 운동을 합니다.  충분한 수면을 취합니다.
말기신질환,"단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리 시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용합니다. 외식 시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥 등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다. ",단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하고 노폐물이 쌓이게 되므로 밥 1공기 정도의 충분한 식사량을 유지합니다. 
바이러스성 간염,"밥, 떡, 감자, 고구마, 과일, 야채, 단백질 식품( 살코기, 생선, 계란, 두부, 콩 등 )",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화 시킬 수 있으므로 주의합니다.
변비,"보리, 현미 등의 잡곡류, 고구마, 통밀빵, 모든 채소, 말린 나물류, 생과일, 미역, 김, 다시마, 건자두(푸룬), 발효유 등",섬유소 섭취가 갑자기 증가하면 위장장애를 일으킬 수 있기 때문에 소량씩 점진적으로 증가시키도록 합니다. 하루 25~50g정도의 섬유소 섭취량이 적절합니다. 
복막염,"부드럽게 조리한 육류 및 생선류,  섬유질이 적은 채소, 연한 과일 및 주스",환자의 적응도에 따라 식사를 진행시킵니다. 영양 공급이 충분하지 못하면 영양음료를 사용합니다.
복수,염분이 첨가되지 않은 자연식품,녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
빈혈,"색이 짙은 살코기, 생선, 계란, 우유 및 유제품, 색이 짙은 채소, 과일","조혈모세포이식 직후에는 멸균식(sterile diet)을 하도록 합니다. 동물성 식품은 반드시 익혀서 섭취합니다. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다. 조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다. 조리 전, 식사 전에 손을 깨끗이 씻도록 합니다. 가공식품은 유통기한을 확인하도록 합니다. "
사구체신염,"고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오. 외식시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.",단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하고 노폐물이 쌓이게 되므로 밥 1공기 정도의 충분한 식사량을 유지합니다.  신선한 채소와 과일을 섭취합니다. 
산모,소화하기 쉽고 부드러운 음식,"철분제를 먹을 경우 엄마 젖에 철분 함유량이 증가하지 않고 엄마에게 변비가 올 수 있으므로 엄마에게 빈혈이 없는 경우에는 음식으로 섭취하는 것을 권장합니다.  산모나 가족 중 음식(계란, 우유나 유제품, 감귤류 등)에 알레르기가 있는 경우 아기에게도 알레르기 반응이 일어날 수 있으므로 주의합니다."
섭식장애,"밥, 떡, 감자, 고구마, 과일, 야채, 단백질 식품( 살코기, 생선, 계란, 두부, 콩 등 )","기름진 가공품, 자극적인 음료"
셀리약병,"쌀, 감자, 콩가루, 옥수수, 고기, 달걀, 모든 채소, 모든 과일, 식물성기름, 버터, 저지방유 등","유당불내성이 있는 경우에는 우유 및 유제품을 피하며, 과당흡수장애일 경우 과당함량이 높은 음식을 제한하고, 설탕불내성일 경우 설탕을 제한하나 정상화 되면 제한하지 않습니다. "
소화불량,"기름기가 적은 흰살 생선, 섬유질이 연한 채소(시금치, 무우, 근대, 당근, 애호박 등) ","직화구이, 튀기기, 볶기 등의 조리법은 되도록 피합니다. 주로 찌기, 데치기, 끓이기, 삶기 등의 조리법을 이용해 부드럽게 조리합니다."
식도암,"잡곡, 견과류, 콩류, 생선류, 요쿠르트, 파프리카, 당근, 가지, 버섯, 토마토와 같이 다양한 색을 지닌 채소 및 과일류",금연을 합니다. 식사 시 또는 직후 바로 눕지 않습니다.
식도염,"저지방 고단백식품(두부,살코기, 흰살 생선 등), 탄수화물 식품(밥, 빵, 크래커, 국수, 감자 등)"," 너무 꽉 조이는 의복은 피합니다. 취침 전 음식 섭취, 식후 바로 눕는 행동을 금합니다. 금주, 금연 합니다."
식도정맥류,"밥, 감자, 고구마, 떡 등의 부드러운 곡류 식품, 양질의 단백질 식품( 살코기, 생선, 두부, 계란 , 콩 등),채소, 과일",식도에 자극적인 약물은 피하는 것이 좋습니다.
식중독,"초기 - 쌀미음, 국물(고기, 생선), 삶은 채소(당근, 호박, 오이, 시금치, 양송이, 가지 등), 보리차, 익힌 생선, 고기, 과일즙 / 회복기 - 쌀밥, 살코기, 계란 두부, 닭고기, 생선, 유제품, 잘 익힌 시금치, 애호박, 당근, 숙주, 양송이 가지, 양상치, 바나나, 과일통조림","맑은 유동식은 대부분의 영양소가 부족하므로 1~2일 이상은 섭취하지 않도록 합니다.  상태가 호전되면 비교적 소화되기 쉬운 저지방, 부드러운 식사로 진행하며, 소량씩 자주 먹는 것이 좋습니다.  비타민C, 엽산 및 무기질 등이 결핍될 수 있으므로 보충이 필요할 수 있습니다. "
식품 알레르기,식품 알레르기 원인 식품을 제외한 모든 식품 및 음식을 먹도록 합니다.,식품 알레르기의 유일한 치료법은 원인 식품에 대한 엄격한 회피요법입니다. 따라서 원인 식품이 무엇인지를 정확히 진단하는 것이 중요합니다. 정확한 진단없이 부모의 짐작만으로 특정 식품을 제한하게 되면 영양적 불균형과 성장 장애를 초래할 수 있으므로 오히려 해가 될 수 있습니다. 또한 식품 알레르기를 진단받은 후에는 원인 식품의 영양소를 포함하고 있는 대체 식품을 찾아 섭취해야 영양결핍을 예방할 수 있습니다. 만약 적절한 대체식품을 찾지 못한 경우에는 부족될 수 있는 영양소를 별도로 처방받아 복용하는 것이 필요할 수 있습니다.
신증후군,"고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다. 백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오. 외식시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다. ",단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하므로 밥 1공기정도의 충분한 식사량을 유지합니다. 신선한 채소와 과일을 섭취합니다.
심근경색,"신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","회복 정도에 따라 급성기인 처음 24시간 동안은 미음 섭취하고 그 후 적응도에 따라 죽->밥으로 서서히 진전시킵니다. 카페인에 의해 특히 위험한 심부정맥이 발생될 수 있으므로 카페인 함유 음료를 제한합니다. Hyperhomocysteinemia인 경우 엽산, 비타민 B6, 비타민 B12가 많이 함유된 식품 (잡곡, 살코기, 콩류, 푸른잎 채소 등)을 선택합니다. "
십이지장궤양,오메가-3 지방산이 풍부한 등푸른 생선,금연은 궤양치료에 도움이 될 뿐 아니라 입맛을 좋게 하므로 담배를 끊는 것이 좋습니다. 개인에 따라 불쾌감을 주는 음식이나 음료는 삼가합니다. 잦은 우유 섭취는 위산 분비량 증가의 원인이 되므로 주의합니다.
아토피성 피부염,"식품 알레르기와 같이 있는 경우 알레르기 원인 식품을 제외한 모든 음식, 특히 단백질과 아연이 풍부한 육류를 충분히 섭취하는 것이 좋습니다","아토피 피부염을 일으킬 수 있는 원인 식품은 여러 가지가 있으나, 그 중 계란, 우유, 달걀, 콩, 땅콩, 밀가루가 흔합니다. 하지만 이 모든 식품들을 무조건 피할 경우 성장장애 등의 더 큰 문제로 이어질 수 있으므로 식품 알레르기가 의심되면 알레르겐(항원) 검사를 통해 이를 정확히 진단한 후, 올바른 식사요법을 시행하는 것이 중요합니다. "
알츠하이머,"삼킴 장애(곤란)가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살, 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다. 사래가 자주 걸릴 경우는 물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취해 볼 수 있습니다. 수분섭취가 부족하지 않도록 물, 유제품, 과일등을 식간에 섭취합니다. 손가락으로 집을 수 있도록 음식의 크기를 적당히 잘라주십시오. ","식사량을 증가시키고 기능적 독립성을 유지하기 위해서는 식탁에 너무 여러 음식을 차려놓지 말고, 한번에 한두가지 음식만 앞에 놓아두고, 손에 숟가락을 쥐게 하여 한술 떠서 입에 넣도록 도와줍니다. 손가락을 이용하여 집을 수 있는 음식을 이용하는 것도 도움이 됩니다. 서두르지 말고 천천히 식사하도록 도와줍니다."
알콜성간질환,"밥, 감자, 고구마, 떡 등의 곡류 식품, 양질의 단백질 식품( 살코기, 생선, 두부, 계란 , 콩 등),채소, 과일",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화 시킬수 있으므로 주의합니다.
열량조절,"채소류,  해조류, 곤약, 무가당 차음료(녹차 등), 물(보리차, 생수, 탄산수 등)",규칙적인 운동을 병행합니다.  행동수정 요법(자기관찰/자기조절)을 병행합니다. 초저열량식사는 부작용이 따르는 식사요법으로 전문가의 관찰과 통제 하에 실시합니다. 외식은 하루 한번 이상하지 않습니다. 
요로결석,"충분한 수분(시간당 250~300ml), 고섬유소 식품",비타민 C 보충제는 요중 수산 배설을 증가시키므로 하루 1g 이하로 제한합니다.?
위궤양,"부드럽게 조리된 단백질 식품(살코기, 흰살생선, 계란찜 등)",
위식도역류질환,"기름이 적은 육고기, 생선, 두부, 계란 등 양질의 단백질 식품, 각종 채소류(브로콜리, 양파, 마늘, 완두콩, 더덕, 도라지, 당근, 오이 등)",몸에 꽉 죄는 옷은 복압을 증가시켜 위산 역류를 자극할 수 있으므로 피하는 것이 좋으며 잠을 잘 때는 상체를 높여주는 것이 좋습니다.
